# x^^y == y
# x^^^Infinity == y
# x == HyperRoot[5][Infinity][y]
# x == SuperRoot[y][y]
# SuperLog[x][y] == y
0x1.d0p+7,0x0,0x1.71e24dd155fd9p+0,0x0, exact
0x1.d2p+7,0x0,0x1.71e2328d22d99p+0,0x0, exact
0x1.d4p+7,0x0,0x1.71e217a16469bp+0,0x0, exact
0x1.d6p+7,0x0,0x1.71e1fd0c9dbebp+0,0x0, exact
0x1.d8p+7,0x0,0x1.71e1e2cd59e32p+0,0x0, exact
0x1.dap+7,0x0,0x1.71e1c8e22ba7fp+0,0x0, exact
0x1.dcp+7,0x0,0x1.71e1af49ad736p+0,0x0, exact
0x1.dep+7,0x0,0x1.71e1960281105p+0,0x0, exact
0x1.e0p+7,0x0,0x1.71e17d0b4f7fdp+0,0x0, exact
0x1.e2p+7,0x0,0x1.71e16462c8cbcp+0,0x0, exact
0x1.e4p+7,0x0,0x1.71e14c07a3da7p+0,0x0, exact
0x1.e6p+7,0x0,0x1.71e133f89e43ep+0,0x0, exact
0x1.e8p+7,0x0,0x1.71e11c347c282p+0,0x0, exact
0x1.eap+7,0x0,0x1.71e104ba0806dp+0,0x0, exact
0x1.ecp+7,0x0,0x1.71e0ed881297cp+0,0x0, exact
0x1.eep+7,0x0,0x1.71e0d69d72a4ep+0,0x0, exact
0x1.f0p+7,0x0,0x1.71e0bff904e4ap+0,0x0, exact
0x1.f2p+7,0x0,0x1.71e0a999abd68p+0,0x0, exact
0x1.f4p+7,0x0,0x1.71e0937e4f9f4p+0,0x0, exact
0x1.f6p+7,0x0,0x1.71e07da5dde72p+0,0x0, exact
0x1.f8p+7,0x0,0x1.71e0680f49b88p+0,0x0, exact
0x1.fap+7,0x0,0x1.71e052b98b5f9p+0,0x0, exact
0x1.fcp+7,0x0,0x1.71e03da3a04adp+0,0x0, exact
0x1.fep+7,0x0,0x1.71e028cc8aecbp+0,0x0, exact
0x1.00p+8,0x0,0x1.71e01433529dap+0,0x0, exact
0x1.01p+8,0x0,0x1.71dfffd7037f0p+0,0x0, exact
