-0x1.3688091c8b685d407129cb3f412dp-2,0x1.fa2c6c879b0790273dc73efde1cep-5
0x1.b312972e66a5db19da991df08107p+663,-0x1.8ca029c8decfa40384e4735ba797p+663
0x1.5fba0b845da3e5e8c56d09557257p+668,-0x1.3f0c3476f7cb0e4de45bb2530193p+668
0x1.1db8535c2c04c4bf747d7853b492p+673,-0x1.01e285ac082b6cfd3bdbb53fb8c8p+673
0x1.d26e62dea135cc14f6d671c9b47cp+677,-0x1.a2e6a8a8611e0cbb1d33ffcfd0b4p+677
0x1.7e8a17e93d8e0e1745f0d0a613b8p+682,-0x1.55daf4276683d775b7281740ced0p+682
0x1.3b3ab7f16c7f3b0a16004fa1d563p+687,-0x1.184f5bf8559be2d592653f18e6f7p+687
0x1.04fe44b423357e9421bedfbb2569p+692,-0x1.cddee7641c30cf7a75288d4a50dap+691
0x1.b236e6c969558662ad59570cb4fcp+696,-0x1.7e4fe937b5bc147898883e7b98e5p+696
0x1.6ae5618e41eb99ea706128af3ec1p+701,-0x1.3df1e980f204ecd8e602cae876a0p+701
0x1.30b5311f8b9fabe9d2156a6d949fp+706,-0x1.09a6cf603a060b9079229bf54f7ap+706
0x1.0109f7959f9d53fc115625a25ce3p+711,-0x1.bdfc1d2257f55f32b145a123ba01p+710
0x1.b3a94c378fb23696de14e6be6732p+715,-0x1.781a149451aa1b9c9b9545542b19p+715
0x1.72e819a710e32b7225111ad0d80ap+720,-0x1.3ea1cbec7ede53fb61f669af70a0p+720
0x1.3d3972fc1710c25044d56c038d99p+725,-0x1.0f2edf335189b7cad98c14271189p+725
0x1.108cc1fb5983cf5618ba98d378e4p+730,-0x1.cfb59f930b6bcf70caac6952213ep+729
0x1.d67602feb86e6d982d4718de655ep+734,-0x1.8e43708e149d3694f9416e60a6eap+734
0x1.97e0e3df9f7b3b39a9e602fe4f0fp+739,-0x1.579a64ab9912c96f073e9683757ap+739
0x1.63367c2493b39e165edff9c5e149p+744,-0x1.29c7efd5743ffbb250ddd7e04b4dp+744
0x1.36bbd874a37f8545ce2bc7fbf66dp+749,-0x1.033a49e043804d564194936152e5p+749
